 ---------------------------------------------------------------
Surface and Strip forces by surface

 Surface forces referred to Sref,Cref,Bref about Xmom,Ymom,Zmom
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     main_wing_1                             
     # chordwise = 10   # spanwise =100     First strip =  1
     Surface area =  17.880           ave. chord =  2.7158    
     CLsurf  =   0.097731     Clsurf  =  -0.011063
     CYsurf  =  -0.000120     Cmsurf  =  -0.055889
     CDsurf  =   0.002949     Cnsurf  =  -0.000287
     CDisurf =   0.000881     CDvsurf =   0.000000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     cl_surf =   0.357538     cd_surf =   0.010788

 Strip Forces referred to strip area, chord
    j    xLE         yLE         zLE         Chord       Area        Dihedral   c cl        ai_ff       cl           clj         cd          cdv         cm_c/4     c.p.x/c      Dcj
    44   12.59       2.607       1.385       2.778      0.2775       0.000      0.5016      0.4553E-01  0.4584      0.2780      0.2970E-01   0.000      0.4901E-01  0.1431       2.992    
    45   12.59       2.707       1.385       2.776      0.2790       0.000      0.5015      0.3878E-01  0.4591      0.2787      0.2976E-01   0.000      0.4920E-01  0.1428       2.994    
    46   12.59       2.808       1.385       2.774      0.2802       0.000      0.5023      0.4240E-01  0.4609      0.2800      0.2989E-01   0.000      0.4959E-01  0.1424       2.996    
    47   12.59       2.909       1.385       2.772      0.2811       0.000      0.5043      0.4258E-01  0.4633      0.2817      0.3008E-01   0.000      0.5006E-01  0.1420       2.998    
    48   12.59       3.011       1.385       2.770      0.2817       0.000      0.5074      0.4269E-01  0.4657      0.2828      0.3030E-01   0.000      0.5043E-01  0.1417       3.000    
    49   12.59       3.112       1.385       2.768      0.2821       0.000      0.5117      0.4295E-01  0.4673      0.2827      0.3053E-01   0.000      0.5055E-01  0.1418       3.002    
    50   12.60       3.214       1.385       2.766      0.2821       0.000      0.5176      0.4330E-01  0.4682      0.2814      0.3079E-01   0.000      0.5042E-01  0.1423       3.004    
    51   12.60       3.316       1.385       2.764      0.2819       0.000      0.5255      0.4375E-01  0.4686      0.2787      0.3112E-01   0.000      0.5007E-01  0.1431       3.007    
    52   12.60       3.418       1.385       2.762      0.2814      0.1249E-12  0.5365      0.4433E-01  0.4685      0.2745      0.3161E-01   0.000      0.4952E-01  0.1443       3.009    
    53   12.60       3.520       1.385       2.760      0.2807     -0.1251E-12  0.5522      0.4512E-01  0.4681      0.2683      0.3248E-01   0.000      0.4879E-01  0.1458       3.011    
    54   12.60       3.622       1.385       2.758      0.2797       0.000      0.5763      0.4623E-01  0.4674      0.2588      0.3434E-01   0.000      0.4787E-01  0.1476       3.013    
    55   12.60       3.723       1.385       2.756      0.2784       0.000      0.6206      0.4796E-01  0.4662      0.2413      0.4149E-01   0.000      0.4669E-01  0.1498       3.015    
