 ---------------------------------------------------------------
Surface and Strip forces by surface

 Surface forces referred to Sref,Cref,Bref about Xmom,Ymom,Zmom
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     main_wing_1                             
     # chordwise = 10   # spanwise =100     First strip =  1
     Surface area =  17.880           ave. chord =  2.7158    
     CLsurf  =   0.097731     Clsurf  =  -0.011063
     CYsurf  =  -0.000120     Cmsurf  =  -0.055889
     CDsurf  =   0.002949     Cnsurf  =  -0.000287
     CDisurf =   0.000881     CDvsurf =   0.000000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     cl_surf =   0.357538     cd_surf =   0.010788

 Strip Forces referred to strip area, chord
    j    xLE         yLE         zLE         Chord       Area        Dihedral   c cl        ai_ff       cl           clj         cd          cdv         cm_c/4     c.p.x/c      Dcj
   289   12.89       13.76       1.385       1.570      0.6594E-01   0.000      0.2051      0.2909E-01  0.1307       0.000      0.2133E-02   0.000      0.5933E-02  0.2046       0.000    
   290   12.90       13.80       1.385       1.565      0.6024E-01   0.000      0.1884      0.2971E-01  0.1204       0.000      0.2057E-02   0.000      0.5790E-02  0.2019       0.000    
   291   12.90       13.84       1.385       1.561      0.5453E-01   0.000      0.1714      0.3030E-01  0.1099       0.000      0.1965E-02   0.000      0.5577E-02  0.1992       0.000    
   292   12.90       13.87       1.385       1.557      0.4880E-01   0.000      0.1542      0.3085E-01  0.9908E-01   0.000      0.1857E-02   0.000      0.5290E-02  0.1966       0.000    
   293   12.90       13.90       1.385       1.553      0.4308E-01   0.000      0.1367      0.3136E-01  0.8804E-01   0.000      0.1733E-02   0.000      0.4925E-02  0.1941       0.000    
   294   12.90       13.93       1.385       1.550      0.3734E-01   0.000      0.1190      0.3182E-01  0.7677E-01   0.000      0.1592E-02   0.000      0.4482E-02  0.1916       0.000    
   295   12.90       13.95       1.385       1.547      0.3160E-01   0.000      0.1010      0.3224E-01  0.6531E-01   0.000      0.1432E-02   0.000      0.3960E-02  0.1894       0.000    
   296   12.90       13.97       1.385       1.545      0.2586E-01   0.000      0.8293E-01  0.3262E-01  0.5368E-01   0.000      0.1245E-02   0.000      0.3364E-02  0.1873       0.000    
   297   12.90       13.99       1.385       1.543      0.2012E-01   0.000      0.6466E-01  0.3293E-01  0.4190E-01   0.000      0.1021E-02   0.000      0.2698E-02  0.1856       0.000    
   298   12.90       14.00       1.385       1.542      0.1437E-01   0.000      0.4628E-01  0.3318E-01  0.3002E-01   0.000      0.7535E-03   0.000      0.1973E-02  0.1843       0.000    
   299   12.90       14.00       1.385       1.541      0.8623E-02   0.000      0.2780E-01  0.3334E-01  0.1804E-01   0.000      0.4482E-03   0.000      0.1203E-02  0.1833       0.000    
   300   12.90       14.01       1.385       1.540      0.2874E-02   0.000      0.9273E-02  0.3343E-01  0.6021E-02   0.000      0.1307E-03   0.000      0.4041E-03  0.1829       0.000    

 Surface forces referred to Sref,Cref,Bref about Xmom,Ymom,Zmom
 Standard axis orientation,  X fwd, Z down         

  Surface # 4     main_wing_2 (YDUP)                      
     # chordwise = 10   # spanwise =100     First strip =301
     Surface area =  14.826           ave. chord =  1.9968    
     CLsurf  =   0.080268     Clsurf  =   0.028353
     CYsurf  =   0.000225     Cmsurf  =  -0.046313
     CDsurf  =   0.002439     Cnsurf  =   0.000542
     CDisurf =   0.000605     CDvsurf =   0.000000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     cl_surf =   0.354143     cd_surf =   0.010761

 Strip Forces referred to strip area, chord
    j    xLE         yLE         zLE         Chord       Area        Dihedral   c cl        ai_ff       cl           clj         cd          cdv         cm_c/4     c.p.x/c      Dcj
   301   12.67      -6.584       1.385       2.453      0.4528E-02   0.000      0.7562      0.9694E-02  0.3086       0.000      0.9518E-03   0.000      0.5484E-03  0.2482       0.000    
   302   12.67      -6.588       1.385       2.453      0.1358E-01   0.000      0.7561      0.9687E-02  0.3086       0.000      0.9537E-03   0.000      0.5478E-03  0.2482       0.000    
   303   12.67      -6.595       1.385       2.452      0.2260E-01   0.000      0.7559      0.9674E-02  0.3087       0.000      0.9544E-03   0.000      0.5466E-03  0.2482       0.000    
   304   12.67      -6.606       1.385       2.450      0.3159E-01   0.000      0.7555      0.9654E-02  0.3087       0.000      0.9549E-03   0.000      0.5448E-03  0.2482       0.000    
   305   12.67      -6.621       1.385       2.449      0.4054E-01   0.000      0.7550      0.9627E-02  0.3087       0.000      0.9552E-03   0.000      0.5425E-03  0.2482       0.000    
   306   12.68      -6.639       1.385       2.446      0.4942E-01  0.6298E-12  0.7543      0.9594E-02  0.3087       0.000      0.9554E-03   0.000      0.5397E-03  0.2483       0.000    
   307   12.68      -6.661       1.385       2.444      0.5823E-01 -0.5339E-12  0.7536      0.9554E-02  0.3088       0.000      0.9554E-03   0.000      0.5367E-03  0.2483       0.000    
   308   12.68      -6.687       1.385       2.440      0.6694E-01   0.000      0.7527      0.9508E-02  0.3088       0.000      0.9553E-03   0.000      0.5334E-03  0.2483       0.000    
   309   12.68      -6.716       1.385       2.437      0.7556E-01   0.000      0.7517      0.9456E-02  0.3088       0.000      0.9549E-03   0.000      0.5300E-03  0.2483       0.000    
   310   12.68      -6.749       1.385       2.433      0.8405E-01   0.000      0.7506      0.9397E-02  0.3089       0.000      0.9541E-03   0.000      0.5266E-03  0.2483       0.000    
   311   12.68      -6.785       1.385       2.428      0.9243E-01   0.000      0.7493      0.9333E-02  0.3089       0.000      0.9531E-03   0.000      0.5235E-03  0.2483       0.000    
   312   12.68      -6.825       1.385       2.424      0.1007       0.000      0.7480      0.9262E-02  0.3090       0.000      0.9515E-03   0.000      0.5208E-03  0.2483       0.000    
   313   12.68      -6.868       1.385       2.418      0.1087       0.000      0.7465      0.9186E-02  0.3091       0.000      0.9495E-03   0.000      0.5187E-03  0.2483       0.000    
   314   12.68      -6.915       1.385       2.412      0.1166       0.000      0.7449      0.9104E-02  0.3092       0.000      0.9467E-03   0.000      0.5174E-03  0.2483       0.000    
   315   12.69      -6.965       1.385       2.406      0.1244       0.000      0.7432      0.9016E-02  0.3092       0.000      0.9433E-03   0.000      0.5172E-03  0.2483       0.000    
   316   12.69      -7.018       1.385       2.400      0.1319     -0.2314E-12  0.7414      0.8923E-02  0.3093       0.000      0.9389E-03   0.000      0.5183E-03  0.2483       0.000    
   317   12.69      -7.075       1.385       2.393      0.1393      0.2185E-12  0.7395      0.8825E-02  0.3094       0.000      0.9335E-03   0.000      0.5211E-03  0.2483       0.000    
   318   12.69      -7.135       1.385       2.385      0.1464      0.2072E-12  0.7375      0.8722E-02  0.3096       0.000      0.9269E-03   0.000      0.5259E-03  0.2483       0.000    
   319   12.69      -7.198       1.385       2.378      0.1534     -0.1972E-12  0.7354      0.8613E-02  0.3097       0.000      0.9190E-03   0.000      0.5330E-03  0.2483       0.000    
   320   12.69      -7.264       1.385       2.370      0.1601     -0.1883E-12  0.7333      0.8498E-02  0.3098       0.000      0.9094E-03   0.000      0.5431E-03  0.2482       0.000    
   321   12.70      -7.333       1.385       2.361      0.1666       0.000      0.7310      0.8379E-02  0.3100       0.000      0.8979E-03   0.000      0.5565E-03  0.2482       0.000    
   322   12.70      -7.405       1.385       2.352      0.1728      0.1732E-12  0.7286      0.8253E-02  0.3101       0.000      0.8843E-03   0.000      0.5739E-03  0.2481       0.000    
   323   12.70      -7.480       1.385       2.343      0.1788       0.000      0.7262      0.8120E-02  0.3103       0.000      0.8681E-03   0.000      0.5960E-03  0.2481       0.000    
   324   12.70      -7.557       1.385       2.333      0.1845       0.000      0.7236      0.7980E-02  0.3105       0.000      0.8488E-03   0.000      0.6238E-03  0.2480       0.000    
   325   12.71      -7.638       1.385       2.324      0.1900       0.000      0.7211      0.7832E-02  0.3107       0.000      0.8259E-03   0.000      0.6582E-03  0.2479       0.000    
   326   12.71      -7.721       1.385       2.313      0.1952       0.000      0.7184      0.7674E-02  0.3109       0.000      0.7987E-03   0.000      0.7005E-03  0.2477       0.000    
   327   12.71      -7.807       1.385       2.303      0.2001       0.000      0.7157      0.7503E-02  0.3112       0.000      0.7661E-03   0.000      0.7524E-03  0.2476       0.000    
   328   12.71      -7.895       1.385       2.292      0.2048     -0.1424E-12  0.7129      0.7317E-02  0.3114       0.000      0.7271E-03   0.000      0.8156E-03  0.2474       0.000    
   329   12.72      -7.985       1.385       2.281      0.2092      0.1387E-12  0.7101      0.7111E-02  0.3117       0.000      0.6800E-03   0.000      0.8925E-03  0.2471       0.000    
   330   12.72      -8.078       1.385       2.269      0.2132       0.000      0.7072      0.6879E-02  0.3120       0.000      0.6228E-03   0.000      0.9861E-03  0.2468       0.000    
   331   12.72      -8.173       1.385       2.258      0.2170       0.000      0.7043      0.6613E-02  0.3124       0.000      0.5528E-03   0.000      0.1100E-02  0.2465       0.000    
   332   12.73      -8.270       1.385       2.246      0.2206       0.000      0.7014      0.6300E-02  0.3127       0.000      0.4661E-03   0.000      0.1238E-02  0.2460       0.000    
   333   12.73      -8.369       1.385       2.234      0.2238       0.000      0.6984      0.5923E-02  0.3131       0.000      0.3573E-03   0.000      0.1407E-02  0.2455       0.000    
   334   12.73      -8.471       1.385       2.221      0.2267       0.000      0.6955      0.5455E-02  0.3135       0.000      0.2188E-03   0.000      0.1613E-02  0.2449       0.000    
   335   12.73      -8.574       1.385       2.209      0.2293     -0.1225E-12  0.6925      0.4856E-02  0.3140       0.000      0.3886E-04   0.000      0.1865E-02  0.2441       0.000    
   336   12.74      -8.678       1.385       2.196      0.2317      0.1206E-12  0.6895      0.4061E-02  0.3145       0.000     -0.2008E-03   0.000      0.2175E-02  0.2431       0.000    
   337   12.74      -8.785       1.385       2.183      0.2337      0.1188E-12  0.6866      0.2960E-02  0.3150       0.000     -0.5304E-03   0.000      0.2558E-02  0.2419       0.000    
   338   12.74      -8.892       1.385       2.169      0.2355     -0.1172E-12  0.6836      0.1351E-02  0.3156       0.000     -0.1005E-02   0.000      0.3037E-02  0.2404       0.000    
   339   12.75      -9.002       1.385       2.156      0.2370       0.000      0.6808     -0.1181E-02  0.3163       0.000     -0.1734E-02   0.000      0.3639E-02  0.2385       0.000    
   340   12.75      -9.112       1.385       2.142      0.2381     -0.1144E-12  0.6780     -0.5665E-02  0.3171       0.000     -0.2983E-02   0.000      0.4412E-02  0.2361       0.000    
   341   12.75      -9.224       1.385       2.129      0.2390      0.1133E-12  0.6754     -0.1562E-01  0.3180       0.000     -0.5608E-02   0.000      0.5436E-02  0.2329       0.000    
   342   12.76      -9.337       1.385       2.115      0.2397       0.000      0.6731     -0.6010E-01  0.3195       0.000     -0.1511E-01   0.000      0.6901E-02  0.2284       0.000    
   343   12.76      -9.449       1.385       2.101      0.2315       0.000      0.4672      0.4694E-01  0.5246      0.3026      0.4460E-01   0.000      0.5973E-01  0.1361       3.956    
   344   12.76      -9.559       1.385       2.087      0.2316       0.000      0.4256      0.4480E-01  0.5272      0.3236      0.3850E-01   0.000      0.6191E-01  0.1326       3.981    
   345   12.77      -9.671       1.385       2.074      0.2315       0.000      0.4017      0.4345E-01  0.5292      0.3357      0.3686E-01   0.000      0.6374E-01  0.1296       4.008    
   346   12.77      -9.782       1.385       2.060      0.2311       0.000      0.3850      0.4250E-01  0.5307      0.3440      0.3615E-01   0.000      0.6528E-01  0.1270       4.034    
   347   12.78      -9.895       1.385       2.046      0.2305      0.1129E-12  0.3724      0.4181E-01  0.5317      0.3500      0.3577E-01   0.000      0.6654E-01  0.1249       4.062    
   348   12.78      -10.01       1.385       2.032      0.2296     -0.1126E-12  0.3622      0.4129E-01  0.5320      0.3540      0.3553E-01   0.000      0.6750E-01  0.1231       4.089    
   349   12.78      -10.12       1.385       2.018      0.2285       0.000      0.3537      0.4091E-01  0.5312      0.3562      0.3531E-01   0.000      0.6808E-01  0.1218       4.118    
   350   12.79      -10.23       1.385       2.004      0.2271       0.000      0.3464      0.4072E-01  0.5292      0.3566      0.3508E-01   0.000      0.6827E-01  0.1210       4.146    
   351   12.79      -10.35       1.385       1.990      0.2255      0.1123E-12  0.3401      0.4071E-01  0.5268      0.3561      0.3488E-01   0.000      0.6828E-01  0.1204       4.175    
   352   12.79      -10.46       1.385       1.976      0.2237     -0.1124E-12  0.3348      0.4153E-01  0.5256      0.3564      0.3477E-01   0.000      0.6850E-01  0.1197       4.205    
   353   12.80      -10.57       1.385       1.963      0.2217       0.000      0.3304      0.4014E-01  0.5265      0.3584      0.3481E-01   0.000      0.6916E-01  0.1187       4.234    
   354   12.80      -10.69       1.385       1.949      0.2195       0.000      0.3270      0.4077E-01  0.5292      0.3617      0.3498E-01   0.000      0.7014E-01  0.1175       4.265    
   355   12.80      -10.80       1.385       1.935      0.2171       0.000      0.3244      0.4093E-01  0.5327      0.3652      0.3522E-01   0.000      0.7119E-01  0.1163       4.295    
   356   12.81      -10.91       1.385       1.921      0.2145       0.000      0.3227      0.4124E-01  0.5354      0.3676      0.3545E-01   0.000      0.7197E-01  0.1156       4.326    
   357   12.81      -11.02       1.385       1.907      0.2117       0.000      0.3221      0.4169E-01  0.5369      0.3683      0.3567E-01   0.000      0.7234E-01  0.1153       4.357    
   358   12.81      -11.13       1.385       1.894      0.2087       0.000      0.3229      0.4227E-01  0.5374      0.3671      0.3591E-01   0.000      0.7234E-01  0.1154       4.388    
   359   12.82      -11.24       1.385       1.880      0.2055      0.1164E-12  0.3258      0.4300E-01  0.5372      0.3642      0.3626E-01   0.000      0.7201E-01  0.1159       4.420    
   360   12.82      -11.35       1.385       1.867      0.2022     -0.1174E-12  0.3320      0.4397E-01  0.5363      0.3587      0.3691E-01   0.000      0.7137E-01  0.1169       4.451    
   361   12.82      -11.46       1.385       1.854      0.1988       0.000      0.3444      0.4529E-01  0.5349      0.3494      0.3844E-01   0.000      0.7039E-01  0.1184       4.483    
   362   12.83      -11.57       1.385       1.841      0.1951       0.000      0.3719      0.4733E-01  0.5328      0.3310      0.4428E-01   0.000      0.6895E-01  0.1206       4.515    
   363   12.83      -11.67       1.385       1.827      0.2006       0.000      0.5382     -0.5407E-01  0.2956       0.000     -0.1272E-01   0.000      0.8823E-02  0.2201       0.000    
   364   12.83      -11.78       1.385       1.814      0.1964     -0.1175E-12  0.5274     -0.1050E-01  0.2914       0.000     -0.4367E-02   0.000      0.7324E-02  0.2249       0.000    
   365   12.84      -11.89       1.385       1.801      0.1921       0.000      0.5167     -0.2287E-03  0.2874       0.000     -0.1963E-02   0.000      0.6313E-02  0.2280       0.000    
   366   12.84      -12.00       1.385       1.788      0.1877      0.1212E-12  0.5061      0.4711E-02  0.2835       0.000     -0.7713E-03   0.000      0.5586E-02  0.2303       0.000    
   367   12.84      -12.10       1.385       1.775      0.1832      0.1233E-12  0.4954      0.7746E-02  0.2795       0.000     -0.4402E-04   0.000      0.5057E-02  0.2319       0.000    
   368   12.85      -12.20       1.385       1.762      0.1785       0.000      0.4846      0.9881E-02  0.2753       0.000      0.4521E-03   0.000      0.4677E-02  0.2330       0.000    
   369   12.85      -12.30       1.385       1.750      0.1738     -0.2563E-12  0.4737      0.1153E-01  0.2710       0.000      0.8152E-03   0.000      0.4414E-02  0.2337       0.000    
   370   12.85      -12.40       1.385       1.738      0.1689       0.000      0.4626      0.1288E-01  0.2665       0.000      0.1094E-02   0.000      0.4246E-02  0.2341       0.000    
   371   12.86      -12.50       1.385       1.726      0.1640      0.1339E-12  0.4514      0.1406E-01  0.2618       0.000      0.1317E-02   0.000      0.4154E-02  0.2341       0.000    
   372   12.86      -12.59       1.385       1.715      0.1590      0.1372E-12  0.4401      0.1513E-01  0.2569       0.000      0.1499E-02   0.000      0.4125E-02  0.2339       0.000    
   373   12.86      -12.68       1.385       1.703      0.1539     -0.1408E-12  0.4285      0.1612E-01  0.2518       0.000      0.1651E-02   0.000      0.4149E-02  0.2335       0.000    
   374   12.86      -12.77       1.385       1.692      0.1487       0.000      0.4167      0.1706E-01  0.2465       0.000      0.1780E-02   0.000      0.4216E-02  0.2329       0.000    
   375   12.87      -12.86       1.385       1.682      0.1435       0.000      0.4047      0.1797E-01  0.2409       0.000      0.1890E-02   0.000      0.4318E-02  0.2321       0.000    
   376   12.87      -12.94       1.385       1.671      0.1382       0.000      0.3924      0.1886E-01  0.2350       0.000      0.1985E-02   0.000      0.4450E-02  0.2311       0.000    
   377   12.87      -13.02       1.385       1.661      0.1328       0.000      0.3799      0.1974E-01  0.2289       0.000      0.2065E-02   0.000      0.4604E-02  0.2299       0.000    
   378   12.87      -13.10       1.385       1.652      0.1274       0.000      0.3671      0.2060E-01  0.2224       0.000      0.2134E-02   0.000      0.4775E-02  0.2285       0.000    
   379   12.88      -13.18       1.385       1.642      0.1220       0.000      0.3540      0.2145E-01  0.2157       0.000      0.2191E-02   0.000      0.4956E-02  0.2270       0.000    
   380   12.88      -13.25       1.385       1.634      0.1165       0.000      0.3406      0.2229E-01  0.2087       0.000      0.2237E-02   0.000      0.5142E-02  0.2254       0.000    
   381   12.88      -13.32       1.385       1.625      0.1110       0.000      0.3269      0.2313E-01  0.2013       0.000      0.2272E-02   0.000      0.5328E-02  0.2235       0.000    
   382   12.88      -13.39       1.385       1.617      0.1054       0.000      0.3128      0.2394E-01  0.1936       0.000      0.2296E-02   0.000      0.5505E-02  0.2216       0.000    
   383   12.88      -13.45       1.385       1.609      0.9987E-01   0.000      0.2984      0.2475E-01  0.1856       0.000      0.2309E-02   0.000      0.5668E-02  0.2195       0.000    
   384   12.89      -13.51       1.385       1.601      0.9426E-01   0.000      0.2837      0.2553E-01  0.1773       0.000      0.2311E-02   0.000      0.5809E-02  0.2172       0.000    
   385   12.89      -13.57       1.385       1.594      0.8863E-01   0.000      0.2686      0.2629E-01  0.1686       0.000      0.2301E-02   0.000      0.5921E-02  0.2149       0.000    
   386   12.89      -13.62       1.385       1.588      0.8298E-01   0.000      0.2533      0.2704E-01  0.1596       0.000      0.2278E-02   0.000      0.5997E-02  0.2124       0.000    
   387   12.89      -13.67       1.385       1.582      0.7732E-01   0.000      0.2375      0.2775E-01  0.1503       0.000      0.2243E-02   0.000      0.6029E-02  0.2099       0.000    
   388   12.89      -13.72       1.385       1.576      0.7164E-01   0.000      0.2215      0.2844E-01  0.1406       0.000      0.2195E-02   0.000      0.6010E-02  0.2073       0.000    
   389   12.89      -13.76       1.385       1.570      0.6594E-01   0.000      0.2051      0.2909E-01  0.1307       0.000      0.2133E-02   0.000      0.5932E-02  0.2046       0.000    
   390   12.90      -13.80       1.385       1.565      0.6024E-01   0.000      0.1884      0.2971E-01  0.1204       0.000      0.2057E-02   0.000      0.5790E-02  0.2019       0.000    
   391   12.90      -13.84       1.385       1.561      0.5453E-01   0.000      0.1714      0.3030E-01  0.1099       0.000      0.1965E-02   0.000      0.5577E-02  0.1992       0.000    
   392   12.90      -13.87       1.385       1.557      0.4880E-01   0.000      0.1542      0.3085E-01  0.9908E-01   0.000      0.1857E-02   0.000      0.5290E-02  0.1966       0.000    
   393   12.90      -13.90       1.385       1.553      0.4308E-01   0.000      0.1367      0.3135E-01  0.8804E-01   0.000      0.1733E-02   0.000      0.4925E-02  0.1941       0.000    
   394   12.90      -13.93       1.385       1.550      0.3734E-01   0.000      0.1190      0.3182E-01  0.7678E-01   0.000      0.1592E-02   0.000      0.4482E-02  0.1916       0.000    
   395   12.90      -13.95       1.385       1.547      0.3160E-01   0.000      0.1010      0.3224E-01  0.6532E-01   0.000      0.1432E-02   0.000      0.3960E-02  0.1894       0.000    
   396   12.90      -13.97       1.385       1.545      0.2586E-01   0.000      0.8293E-01  0.3262E-01  0.5368E-01   0.000      0.1245E-02   0.000      0.3364E-02  0.1873       0.000    
   397   12.90      -13.99       1.385       1.543      0.2012E-01   0.000      0.6467E-01  0.3293E-01  0.4191E-01   0.000      0.1021E-02   0.000      0.2698E-02  0.1856       0.000    
   398   12.90      -14.00       1.385       1.542      0.1437E-01   0.000      0.4628E-01  0.3318E-01  0.3002E-01   0.000      0.7535E-03   0.000      0.1973E-02  0.1843       0.000    
   399   12.90      -14.00       1.385       1.541      0.8623E-02   0.000      0.2780E-01  0.3334E-01  0.1804E-01   0.000      0.4482E-03   0.000      0.1203E-02  0.1833       0.000    
   400   12.90      -14.01       1.385       1.540      0.2874E-02   0.000      0.9274E-02  0.3342E-01  0.6022E-02   0.000      0.1307E-03   0.000      0.4041E-03  0.1829       0.000    

 Surface forces referred to Sref,Cref,Bref about Xmom,Ymom,Zmom
 Standard axis orientation,  X fwd, Z down         

  Surface # 5     horizontal_stabilizer                   
     # chordwise = 10   # spanwise = 30     First strip =401
     Surface area =  11.195           ave. chord =  1.9317    
     CLsurf  =   0.029674     Clsurf  =  -0.002681
     CYsurf  =  -0.000070     Cmsurf  =  -0.161624
     CDsurf  =   0.000660     Cnsurf  =  -0.000048
     CDisurf =   0.000660     CDvsurf =   0.000000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     cl_surf =   0.173379     cd_surf =   0.003854

 Strip Forces referred to strip area, chord
    j    xLE         yLE         zLE         Chord       Area        Dihedral   c cl        ai_ff       cl           clj         cd          cdv         cm_c/4     c.p.x/c      Dcj
   401   23.90      0.3971E-02   6.074       2.414      0.3832E-01   0.000      0.4136      0.2886E-01  0.1708       0.000      0.1542E-01   0.000     -0.1244E-02  0.2573       0.000    
   402   23.90      0.3568E-01   6.074       2.409      0.1143       0.000      0.4136      0.2880E-01  0.1716       0.000      0.5464E-02   0.000     -0.1178E-02  0.2569       0.000    
   403   23.91      0.9874E-01   6.074       2.398      0.1883       0.000      0.4135      0.2874E-01  0.1724       0.000      0.4810E-02   0.000     -0.9762E-03  0.2557       0.000    
   404   23.92      0.1925       6.074       2.383      0.2590     -0.4682E-12  0.4133      0.2868E-01  0.1735       0.000      0.4571E-02   0.000     -0.6868E-03  0.2540       0.000    
   405   23.94      0.3158       6.074       2.362      0.3253      0.7391E-12  0.4128      0.2860E-01  0.1748       0.000      0.4415E-02   0.000     -0.3707E-03  0.2521       0.000    
   406   23.97      0.4675       6.074       2.337      0.3860     -0.3081E-12  0.4120      0.2852E-01  0.1763       0.000      0.4301E-02   0.000     -0.6888E-04  0.2504       0.000    
   407   23.99      0.6458       6.074       2.307      0.4404       0.000      0.4107      0.2843E-01  0.1781       0.000      0.4216E-02   0.000      0.1958E-03  0.2489       0.000    
   408   24.02      0.8487       6.074       2.273      0.4875       0.000      0.4088      0.2832E-01  0.1799       0.000      0.4151E-02   0.000      0.4140E-03  0.2477       0.000    
   409   24.05       1.074       6.074       2.236      0.5270     -0.2159E-12  0.4061      0.2821E-01  0.1817       0.000      0.4102E-02   0.000      0.5864E-03  0.2468       0.000    
   410   24.09       1.319       6.074       2.195      0.5583       0.000      0.4025      0.2810E-01  0.1834       0.000      0.4063E-02   0.000      0.7201E-03  0.2461       0.000    
   411   24.13       1.582       6.074       2.151      0.5813      0.1883E-12  0.3980      0.2800E-01  0.1851       0.000      0.4030E-02   0.000      0.8259E-03  0.2455       0.000    
   412   24.17       1.859       6.074       2.105      0.5960       0.000      0.3924      0.2791E-01  0.1865       0.000      0.4002E-02   0.000      0.9159E-03  0.2451       0.000    
   413   24.21       2.148       6.074       2.057      0.6026       0.000      0.3857      0.2787E-01  0.1876       0.000      0.3974E-02   0.000      0.1003E-02  0.2447       0.000    
   414   24.26       2.444       6.074       2.007      0.6013       0.000      0.3780      0.2789E-01  0.1883       0.000      0.3947E-02   0.000      0.1098E-02  0.2442       0.000    
   415   24.30       2.746       6.074       1.957      0.5928     -0.1680E-12  0.3690      0.2799E-01  0.1886       0.000      0.3916E-02   0.000      0.1214E-02  0.2436       0.000    
   416   24.34       3.049       6.074       1.906      0.5775      0.1680E-12  0.3589      0.2819E-01  0.1883       0.000      0.3882E-02   0.000      0.1362E-02  0.2428       0.000    
   417   24.39       3.351       6.074       1.856      0.5561       0.000      0.3474      0.2852E-01  0.1872       0.000      0.3842E-02   0.000      0.1552E-02  0.2417       0.000    
   418   24.43       3.648       6.074       1.807      0.5293       0.000      0.3346      0.2901E-01  0.1853       0.000      0.3795E-02   0.000      0.1798E-02  0.2403       0.000    
   419   24.47       3.936       6.074       1.759      0.4980       0.000      0.3203      0.2966E-01  0.1822       0.000      0.3736E-02   0.000      0.2111E-02  0.2384       0.000    
   420   24.51       4.213       6.074       1.712      0.4628       0.000      0.3042      0.3050E-01  0.1777       0.000      0.3662E-02   0.000      0.2505E-02  0.2359       0.000    
   421   24.55       4.476       6.074       1.669      0.4245     -0.2001E-12  0.2863      0.3152E-01  0.1716       0.000      0.3567E-02   0.000      0.2984E-02  0.2326       0.000    
   422   24.59       4.721       6.074       1.628      0.3837       0.000      0.2662      0.3271E-01  0.1636       0.000      0.3442E-02   0.000      0.3546E-02  0.2283       0.000    
   423   24.62       4.947       6.074       1.590      0.3411      0.2373E-12  0.2438      0.3404E-01  0.1533       0.000      0.3279E-02   0.000      0.4163E-02  0.2229       0.000    
   424   24.65       5.150       6.074       1.556      0.2971       0.000      0.2188      0.3544E-01  0.1406       0.000      0.3069E-02   0.000      0.4772E-02  0.2161       0.000    
   425   24.68       5.328       6.074       1.527      0.2522       0.000      0.1911      0.3683E-01  0.1252       0.000      0.2801E-02   0.000      0.5267E-02  0.2079       0.000    
   426   24.70       5.480       6.074       1.501      0.2067       0.000      0.1608      0.3816E-01  0.1071       0.000      0.2468E-02   0.000      0.5496E-02  0.1987       0.000    
   427   24.72       5.603       6.074       1.481      0.1610       0.000      0.1280      0.3934E-01  0.8647E-01   0.000      0.2064E-02   0.000      0.5288E-02  0.1888       0.000    
   428   24.73       5.697       6.074       1.465      0.1150       0.000      0.9314E-01  0.4033E-01  0.6357E-01   0.000      0.1585E-02   0.000      0.4498E-02  0.1793       0.000    
   429   24.74       5.760       6.074       1.455      0.6902E-01   0.000      0.5660E-01  0.4109E-01  0.3891E-01   0.000      0.1024E-02   0.000      0.3067E-02  0.1712       0.000    
   430   24.75       5.791       6.074       1.449      0.2301E-01   0.000      0.1899E-01  0.4152E-01  0.1310E-01   0.000      0.3071E-03   0.000      0.1093E-02  0.1666       0.000    

 Surface forces referred to Sref,Cref,Bref about Xmom,Ymom,Zmom
 Standard axis orientation,  X fwd, Z down         

  Surface # 6     horizontal_stabilizer (YDUP)            
     # chordwise = 10   # spanwise = 30     First strip =431
     Surface area =  11.195           ave. chord =  1.9317    
     CLsurf  =   0.029672     Clsurf  =   0.002681
     CYsurf  =   0.000070     Cmsurf  =  -0.161610
     CDsurf  =   0.000660     Cnsurf  =   0.000048
     CDisurf =   0.000660     CDvsurf =   0.000000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     cl_surf =   0.173364     cd_surf =   0.003854

 Strip Forces referred to strip area, chord
    j    xLE         yLE         zLE         Chord       Area        Dihedral   c cl        ai_ff       cl           clj         cd          cdv         cm_c/4     c.p.x/c      Dcj
   431   23.90     -0.3971E-02   6.074       2.414      0.3832E-01   0.000      0.4136      0.2886E-01  0.1707       0.000      0.1544E-01   0.000     -0.1243E-02  0.2573       0.000    
   432   23.90     -0.3568E-01   6.074       2.409      0.1143       0.000      0.4135      0.2880E-01  0.1716       0.000      0.5465E-02   0.000     -0.1178E-02  0.2569       0.000    
   433   23.91     -0.9874E-01   6.074       2.398      0.1883       0.000      0.4135      0.2874E-01  0.1724       0.000      0.4810E-02   0.000     -0.9763E-03  0.2557       0.000    
   434   23.92     -0.1925       6.074       2.383      0.2590      0.4682E-12  0.4133      0.2868E-01  0.1734       0.000      0.4571E-02   0.000     -0.6870E-03  0.2540       0.000    
   435   23.94     -0.3158       6.074       2.362      0.3253     -0.7391E-12  0.4128      0.2860E-01  0.1748       0.000      0.4415E-02   0.000     -0.3708E-03  0.2521       0.000    
