group,label,lambda_real,lambda_imag,zeta,freq_hz,lon_frac,lat_frac,oth_frac
14,short-period,-0.6845202407943306,1.6666943123289766,0.3799117669984803,0.2652626384303039,0.8767703348276792,0.0058799304291369614,0.11734973474256147
14,dutch-roll,-0.7868489585048846,1.1286328117196602,0.5719032580883294,0.17962749092088837,0.003946631979578059,0.9298250837988405,0.0662282842207203
14,phugoid,-0.029340424469507888,0.1897963514745516,0.15277427731785578,0.030207027517981627,0.08997064623317158,7.890232416127699e-06,0.9100214635339047
14,spiral,-0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
15,roll,-22.657078795752046,0.0,1.0,0.0,0.004283139366637698,0.9945124010272742,0.0012044596055732191
15,short-period,-0.6624755042170327,1.5916172318872377,0.38427020517690097,0.2533137499650933,0.8673551216131166,0.006125038066556903,0.12651984031970467
15,dutch-roll,-0.7610500889375493,1.120878428556982,0.561730849539017,0.17839334250991953,0.004506137548576286,0.9253661504983323,0.07012771195223404
15,phugoid,-0.02807120554559766,0.18933950366349164,0.14665554993478513,0.03013431793061072,0.08955208588584505,8.006502175867852e-06,0.9104399076114712
15,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
16,roll,-22.772132590365505,0.0,1.0,0.0,0.004277333208083481,0.9945718719925888,0.001150794798805923
16,short-period,-0.6363816039155383,1.5014315670024019,0.3902435397727896,0.23896025560264253,0.8542594567555364,0.006453029507755492,0.13928751373608894
16,dutch-roll,-0.7303789464783755,1.1067516068450363,0.5508016991010952,0.17614498900428546,0.005289707546814218,0.9187004073110381,0.0760098851412958
16,phugoid,-0.02675115706975842,0.1887523006067858,0.14032396684327195,0.030040861661537317,0.08907884453026926,8.522140128498592e-06,0.9109126333290942
16,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
17,roll,-22.88012713479742,0.0,1.0,0.0,0.00421753941307691,0.9946762792349148,0.0011061813514797807
17,short-period,-0.6076816536366947,1.3973500776244794,0.3988023550032174,0.22239517208377954,0.8362547126130605,0.006972550527762064,0.15677273685856408
17,dutch-roll,-0.6960671956447095,1.08696638107712,0.5392783151504825,0.17299607252313245,0.006516135935354577,0.9094994267301861,0.0839844373336156
17,phugoid,-0.025286790300185435,0.18791623876615296,0.13336214582603503,0.029907798286870093,0.08850486961695236,8.089708250699237e-06,0.9114870406742888
17,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
18,roll,-22.980034523620812,0.0,1.0,0.0,0.0041117845669574665,0.9948448236980136,0.0010433917344936617
18,short-period,-0.5778411590205015,1.281513142582713,0.4110509207076243,0.20395915127926767,0.8117170439915263,0.007950238331640887,0.18033271767622955
18,dutch-roll,-0.6592725013473625,1.0622888098495173,0.5273171460787255,0.16906851507875717,0.008690830673985326,0.8968973826699866,0.09441178665519566
